friends,number_reviews,photos,area_AL,elite_user,y
518,29,6,0,0,0.137585421
0,28,31,0,0,-0.089931663
9,13,0,1,0,0.137585421
165,260,515,0,1,0.137585421
16,27,1,0,0,0.137585421
24,179,123,0,0,0.137585421
0,27,20,0,0,0.137585421
11,246,383,0,1,0.137585421
7,25,75,0,0,0.137585421
3,22,4,1,0,-0.317448747
38,21,15,0,0,0.137585421
1,24,2,0,0,-0.089931663
0,25,7,0,0,0.137585421
0,10,5,0,0,0.137585421
66,302,1617,0,1,-0.089931663
239,10,0,0,0,0.137585421
74,9,16,1,0,-0.317448747
351,372,807,0,0,-0.089931663
2,4,1,0,0,0.137585421
96,1,0,0,0,0.137585421
0,17,0,0,0,-0.089931663
1,36,11,0,0,-0.317448747
2,56,0,1,0,0.137585421
13,120,29,1,1,0.137585421
6,21,2,1,0,0.137585421
0,9,3,1,0,0.137585421
28,103,11,0,0,0.137585421
103,82,242,0,1,0.137585421
13,101,77,0,0,0.137585421
27,549,813,0,1,-0.317448747
245,67,72,0,0,-0.089931663
168,5,1,1,0,0.137585421
1,13,14,0,0,0.137585421
0,24,1,0,0,0.137585421
11,55,52,0,0,0.137585421
63,72,342,0,1,-0.089931663
5,48,55,0,0,0.137585421
0,2,0,1,0,0.137585421
163,117,14,0,0,0.137585421
832,334,2978,0,1,0.137585421
185,339,609,0,1,-0.317448747
0,2,0,1,0,0.137585421
254,24,9,0,0,0.137585421
4,62,38,1,0,0.137585421
2,70,9,0,0,0.137585421
243,134,473,1,0,0.137585421
207,11,4,0,0,0.137585421
36,63,65,1,1,0.137585421
165,3,3,1,0,-0.089931663
23,113,67,0,1,0.137585421
175,339,658,0,1,-0.089931663
4,12,26,0,0,0.137585421
1,23,3,0,0,0.137585421
205,7,12,0,0,-0.089931663
0,2,0,0,0,-0.772482916
6,13,5,0,0,0.137585421
208,18,11,0,0,0.137585421
101,17,0,0,0,0.137585421
0,12,4,0,0,-0.089931663
236,12,174,0,0,0.137585421
203,35,11,0,0,0.137585421
30,42,0,0,0,0.137585421
83,154,247,0,1,0.137585421
177,30,23,1,0,-0.089931663
306,183,816,0,0,0.137585421
0,7,1,1,0,-0.089931663
799,5,2,0,0,0.137585421
139,32,21,1,0,0.137585421
13,51,120,1,0,0.137585421
0,12,15,0,0,0.137585421
0,5,3,0,0,-0.089931663
98,67,627,0,1,0.137585421
1,3,0,1,0,0.137585421
2,44,68,0,0,0.137585421
298,65,53,0,1,-0.089931663
0,38,26,0,0,0.137585421
18,147,94,0,1,0.137585421
11,7,1,0,0,0.137585421
52,11,2,1,0,-0.089931663
158,53,612,0,1,0.137585421
160,18,4,0,0,0.137585421
20,402,27,0,1,0.137585421
1,23,0,0,0,0.137585421
207,6,2,0,0,0.137585421
123,11,0,0,0,0.137585421
0,4,1,1,0,0.137585421
86,102,61,0,0,0.137585421
2,31,31,0,0,-0.089931663
327,298,853,0,1,0.137585421
131,5,2,0,0,0.137585421
78,25,44,0,0,-0.317448747
0,6,8,1,0,0.137585421
275,20,7,1,0,0.137585421
157,32,63,1,0,-0.772482916
1,20,4,0,0,0.137585421
6,46,0,0,0,0.137585421
70,6,0,0,0,0.137585421
1,13,17,0,0,-0.089931663
0,7,15,0,0,-0.089931663
0,21,0,0,0,0.137585421
0,6,3,0,0,0.137585421
0,10,3,0,0,0.137585421
357,496,470,0,1,0.137585421
201,80,90,1,1,-0.089931663
118,50,161,0,0,0.137585421
437,46,68,0,0,0.137585421
622,583,1359,0,1,0.137585421
22,2,1,0,0,0.137585421
0,26,0,1,0,0.137585421
335,351,107,1,1,0.137585421
0,41,16,1,0,0.137585421
530,755,755,0,1,-0.089931663
0,3,0,1,0,-0.772482916
3,31,14,1,0,0.137585421
63,17,6,0,0,0.137585421
13,49,4,0,0,0.137585421
0,6,2,1,0,-0.089931663
3,17,0,0,0,0.137585421
0,22,53,0,0,0.137585421
47,193,141,1,0,0.137585421
233,160,421,0,0,0.137585421
22,135,37,0,1,0.137585421
0,48,0,0,0,-0.317448747
0,3,0,0,0,0.137585421
318,83,759,0,0,0.137585421
713,87,217,1,0,0.137585421
89,41,16,0,0,0.137585421
1,17,11,0,0,0.137585421
66,20,3,0,0,0.137585421
10,118,170,0,1,-0.317448747
257,2,0,0,0,-0.317448747
0,5,0,0,0,0.137585421
203,597,1180,0,1,-0.089931663
2,14,0,1,0,-0.089931663
18,84,198,0,0,0.137585421
66,16,3,0,0,0.137585421
32,59,100,0,0,-0.089931663
767,205,521,0,0,-0.089931663
39,4,18,1,0,0.137585421
0,6,0,0,0,0.137585421
98,120,7,1,1,0.137585421
12,70,277,0,0,-0.317448747
27,82,182,1,0,-0.089931663
0,4,0,1,0,0.137585421
0,35,0,0,0,0.137585421
4,29,18,1,0,0.137585421
0,3,3,0,0,0.137585421
22,2,0,0,0,0.137585421
152,225,319,0,1,-0.544965831
18,22,2,0,0,0.137585421
0,6,0,0,0,0.137585421
0,1,0,1,0,0.137585421
0,6,3,1,0,-0.772482916
6,54,72,0,0,0.137585421
0,41,6,0,0,0.137585421
228,60,133,0,1,0.137585421
309,6,0,0,0,0.137585421
539,163,215,0,0,0.137585421
9,37,6,0,0,-0.089931663
1,71,164,0,0,0.137585421
377,23,74,0,0,0.137585421
0,7,4,0,0,0.137585421
0,4,10,0,0,0.137585421
0,1,3,0,0,0.137585421
975,194,555,0,1,0.137585421
3,84,10,0,0,-0.089931663
66,4,2,1,0,0.137585421
1,3,5,0,0,0.137585421
1,14,29,0,0,0.137585421
165,106,242,1,1,0.137585421
284,57,65,0,0,0.137585421
186,3,0,0,0,0.137585421
2,22,2,0,0,0.137585421
183,372,70,1,0,-0.089931663
1,140,12,0,0,0.137585421
0,2,0,0,0,0.137585421
0,28,2,0,0,-0.089931663
1,14,0,0,0,0.137585421
92,202,62,1,0,0.137585421
7,75,89,0,0,0.137585421
149,5,2,1,0,-0.772482916
52,117,424,0,0,0.137585421
1,3,6,0,0,0.137585421
12,22,10,1,0,0.137585421
0,25,9,0,0,0.137585421
1,19,3,0,0,0.137585421
1,6,10,0,0,0.137585421
0,5,1,1,0,0.137585421
0,23,6,0,0,0.137585421
52,22,26,0,0,0.137585421
6,43,6,0,0,0.137585421
0,14,6,0,0,-0.772482916
23,2,8,0,0,0.137585421
257,39,35,0,1,0.137585421
0,9,2,0,0,0.137585421
292,62,77,1,0,-0.089931663
0,2,0,0,0,-0.772482916
0,16,0,1,0,0.137585421
38,7,4,0,0,0.137585421
77,6,0,0,0,-0.544965831
118,3,2,0,0,0.137585421
4,21,13,0,0,0.137585421
28,6,2,0,0,0.137585421
101,89,107,0,0,0.137585421
104,1,0,0,0,0.137585421
13,16,71,1,0,0.137585421
0,17,3,0,0,0.137585421
0,1,0,0,0,0.137585421
71,27,9,0,0,-0.089931663
151,25,11,0,0,0.137585421
0,17,0,0,0,-0.544965831
11,8,4,0,0,0.137585421
3690,3691,65368,1,1,0.137585421
18,23,0,1,0,-0.089931663
0,20,0,0,0,0.137585421
0,3,0,0,0,0.137585421
0,3,0,0,0,0.137585421
0,35,4,0,0,0.137585421
4,20,14,0,0,0.137585421
1,19,8,0,0,0.137585421
382,10,6,0,0,0.137585421
6,62,95,0,0,0.137585421
0,4,0,0,0,0.137585421
185,636,8455,1,1,-0.317448747
5,3,0,1,0,0.137585421
5,50,21,1,0,-0.089931663
50,12,4,0,0,0.137585421
324,16,41,1,0,0.137585421
81,139,157,1,0,0.137585421
31,5,3,1,0,0.137585421
111,202,471,1,1,0.137585421
59,19,27,0,0,-0.317448747
0,2,0,0,0,0.137585421
67,81,30,0,0,0.137585421
3,20,38,0,0,0.137585421
271,61,201,1,0,-0.317448747
36,20,1,0,0,0.137585421
279,5,0,0,0,0.137585421
888,45,6,0,0,0.137585421
17,22,15,0,0,-0.089931663
256,122,21,0,0,0.137585421
243,109,36,0,0,0.137585421
0,8,0,0,0,0.137585421
472,721,162,0,0,-0.089931663
1433,435,1955,0,1,0.137585421
14,22,6,0,0,0.137585421
132,113,117,0,0,0.137585421
669,1302,4889,0,1,-0.089931663
204,51,2,0,1,0.137585421
467,2,0,1,0,0.137585421
1,6,2,0,0,0.137585421
7,18,1,0,0,0.137585421
139,144,309,0,1,0.137585421
62,13,17,0,0,0.137585421
0,11,1,0,0,0.137585421
112,34,11,1,0,0.137585421
101,7,22,0,0,0.137585421
0,102,22,0,0,0.137585421
18,16,1,0,0,0.137585421
232,253,280,0,0,-0.317448747
17,9,0,0,0,0.137585421
221,24,2,1,0,-0.089931663
13,127,149,0,0,0.137585421
4,5,3,0,0,-0.089931663
0,9,1,1,0,0.137585421
10,85,105,0,0,0.137585421
4,26,29,0,0,0.137585421
32,95,55,0,0,-0.089931663
3,149,291,0,0,-0.089931663
1,2,0,0,0,-0.089931663
0,3,0,0,0,-0.317448747
15,429,14,0,0,0.137585421
4,39,48,1,0,0.137585421
0,6,0,0,0,-0.089931663
5,285,44,0,1,0.137585421
11,13,5,0,0,0.137585421
3,7,0,1,0,0.137585421
132,77,719,1,0,0.137585421
410,1,0,0,0,-0.089931663
52,7,0,0,0,0.137585421
0,15,25,0,0,-0.317448747
121,9,25,0,0,0.137585421
0,21,28,0,0,0.137585421
415,2,0,0,0,0.137585421
0,5,0,0,0,0.137585421
0,14,0,0,0,0.137585421
0,30,0,1,0,-0.317448747
340,398,536,0,1,-0.089931663
0,12,5,0,0,0.137585421
122,134,96,0,0,-0.544965831
574,4,0,0,0,0.137585421
88,47,6,0,0,0.137585421
326,2,4,0,0,0.137585421
5,9,9,0,0,0.137585421
9,84,189,0,0,0.137585421
122,7,2,0,0,0.137585421
0,19,24,0,0,-0.089931663
35,49,151,0,0,-0.089931663
18,203,351,0,1,0.137585421
0,10,0,1,0,-0.317448747
65,243,339,0,1,0.137585421
156,7,7,0,0,0.137585421
0,30,4,0,0,0.137585421
187,38,45,0,0,-0.089931663
56,48,68,0,0,-0.772482916
19,76,206,0,0,0.137585421
428,4,2,0,0,0.137585421
41,6,0,0,0,-0.317448747
54,61,41,1,0,-0.089931663
1,9,0,0,0,0.137585421
110,3,1,0,0,0.137585421
97,77,120,1,0,0.137585421
527,129,345,0,0,0.137585421
231,87,447,1,0,0.137585421
26,273,35,0,0,-0.317448747
0,5,0,1,0,0.137585421
0,17,0,0,0,0.137585421
0,2,0,1,0,0.137585421
1,39,8,0,0,0.137585421
1014,116,57,1,0,-0.544965831
448,248,157,0,0,0.137585421
23,20,17,0,0,0.137585421
0,11,0,0,0,-0.772482916
0,3,0,0,0,0.137585421
83,1,0,0,0,0.137585421
2,23,18,0,0,-0.317448747
383,24,1,0,0,-0.089931663
0,3,3,0,0,0.137585421
7,21,0,0,0,0.137585421
38,4,0,0,0,0.137585421
8,63,229,0,0,-0.089931663
41,25,3,0,0,-0.089931663
2,24,0,0,0,-0.317448747
321,7,0,1,0,0.137585421
42,2,0,0,0,0.137585421
76,32,6,1,0,-0.772482916
0,24,22,0,0,-0.317448747
22,17,1,1,0,0.137585421
27,80,178,0,1,0.137585421
11,14,3,0,0,0.137585421
2,5,10,0,0,0.137585421
34,398,420,0,1,0.137585421
11,68,104,1,1,-0.089931663
4,18,11,0,0,-0.317448747
13,144,1,1,0,-0.089931663
2,9,2,0,0,0.137585421
0,4,0,0,0,0.137585421
72,53,19,1,0,-0.317448747
473,58,78,0,1,0.137585421
60,13,0,1,0,0.137585421
0,3,0,0,0,-0.772482916
15,21,17,0,0,0.137585421
1,2,15,1,0,0.137585421
0,1,0,0,0,0.137585421
59,1396,868,0,0,-0.089931663
19,28,0,0,0,0.137585421
5,66,24,0,0,0.137585421
163,17,0,1,0,0.137585421
1,23,37,1,0,0.137585421
78,517,592,0,1,0.137585421
76,25,2,0,0,0.137585421
271,38,349,0,0,0.137585421
0,11,0,0,0,-0.317448747
315,269,321,0,1,0.137585421
32,162,85,0,0,-0.544965831
18,52,40,0,0,0.137585421
30,120,263,0,0,-0.317448747
0,8,0,1,0,-0.089931663
258,52,110,1,0,-0.089931663
81,47,10,1,0,0.137585421
1322,1911,8546,0,1,-0.089931663
384,69,4,1,0,-0.089931663
1,17,27,0,0,0.137585421
143,168,85,0,0,0.137585421
315,400,481,1,1,-0.089931663
91,34,17,0,0,-0.089931663
127,114,598,1,1,0.137585421
304,752,800,0,1,0.137585421
845,1406,3430,0,1,0.137585421
3,45,21,1,0,0.137585421
0,21,40,1,0,0.137585421
221,4,1,0,0,0.137585421
0,6,0,1,0,-0.772482916
0,7,0,1,0,0.137585421
0,7,4,0,0,-0.089931663
5,42,70,0,0,0.137585421
269,201,83,1,1,-0.317448747
147,8,4,1,0,0.137585421
0,12,0,0,0,0.137585421
54,122,153,0,0,0.137585421
31,29,13,1,0,0.137585421
0,5,0,1,0,-0.772482916
338,28,1557,1,0,-0.544965831
92,332,1973,0,1,-0.317448747
0,7,5,0,0,0.137585421
102,21,33,0,0,0.137585421
1969,43,112,1,0,0.137585421
178,15,15,0,0,-0.089931663
158,17,24,0,0,0.137585421
0,20,8,0,0,0.137585421
78,34,47,1,0,-0.089931663
70,5,0,0,0,0.137585421
189,13,7,0,0,0.137585421
693,180,48,1,1,0.137585421
281,155,42,0,0,0.137585421
7,19,10,1,0,0.137585421
13,6,4,0,0,0.137585421
258,107,84,0,0,0.137585421
2,22,0,1,0,0.137585421
51,12,20,0,0,0.137585421
63,20,41,1,0,-0.089931663
0,21,12,0,0,0.137585421
4,69,17,0,0,0.137585421
0,17,0,0,0,0.137585421
40,40,18,0,0,0.137585421
22,99,84,1,1,0.137585421
0,25,0,0,0,0.137585421
130,104,216,0,0,-0.089931663
0,2,2,0,0,0.137585421
0,5,5,0,0,0.137585421
0,5,0,1,0,-0.089931663
5,11,3,1,0,0.137585421
12,81,79,0,0,-0.089931663
514,288,52,0,1,0.137585421
97,18,0,0,0,0.137585421
538,298,799,0,1,0.137585421
88,25,2,0,0,-0.089931663
0,30,22,0,0,0.137585421
0,18,0,0,0,-0.089931663
70,344,285,0,1,-0.089931663
3,7,2,0,0,0.137585421
0,3,0,0,0,0.137585421
271,398,2309,1,0,-0.772482916
0,57,0,0,0,-0.772482916
31,29,66,0,0,0.137585421
139,9,5,1,0,-0.544965831
18,112,10,0,1,0.137585421
3,23,16,0,0,0.137585421
0,3,0,0,0,0.137585421
193,30,0,0,0,-0.089931663
79,4,10,0,0,0.137585421
7,23,1,0,0,0.137585421
21,225,233,0,0,-0.089931663
0,36,1,0,0,0.137585421
116,1225,533,0,1,-0.089931663
376,1020,123,0,1,0.137585421
7,64,0,0,0,0.137585421
309,74,173,0,0,0.137585421
0,19,4,0,0,0.137585421
27,16,15,0,0,-0.089931663
185,6,0,0,0,0.137585421
82,357,1548,1,1,-0.089931663
412,51,55,0,0,-0.089931663
0,1,0,0,0,-0.544965831
88,20,26,0,0,0.137585421
0,21,15,1,0,-0.544965831
57,51,95,0,0,-0.317448747
525,448,260,1,1,-0.544965831
59,23,3,0,0,-0.544965831
105,8,0,0,0,0.137585421
1,8,3,0,0,0.137585421
12,23,50,0,0,0.137585421
6,4,4,0,0,0.137585421
62,22,0,1,0,-0.089931663
555,395,462,0,1,-0.317448747
0,16,10,0,0,0.137585421
12,24,69,0,0,0.137585421
425,14,42,0,0,-0.089931663
108,42,10,0,0,-0.089931663
2,51,56,0,0,0.137585421
0,2,0,0,0,0.137585421
